id,name,type,fortress,nation,supply,depot,vp,zone
75,Sevezh,area,1,,,1,,D1
76,Rudnya,area,,,,,,D1
77,Polotsk,area,1,,,1,,D2
78,Disna,area,,,,,,D2
79,Kamen,area,,,,,,D2
80,Lepel,area,,,,,,D3
81,Senno,area,,,,,,D3
82,Kokhanovo,area,,,,,,D3
83,Borisov,area,1,,,1,,D3
84,Mogilev,key_city,1,,,1,1,D4
85,Bobruysk,area,1,,,1,,D4
86,Igumen,area,,,,,,D4
87,Ragostov,area,,,,1,,E4
88,Mozyr,area,1,,,1,,D5
89,Unnamed D5,area,,,,,,D5
90,Unnamed D6,area,,,,,,D6
91,Zhitomir,area,,,,1,,D6
92,Kiev,key_city,1,,,1,2,D6
93,Bezhanitzy,key_city,,,,,1,E1
94,Unnamed E1,area,,,,,,E1
95,Velikiye Luki,area,,,,1,,E1
96,Toropets,area,,,,,,E1
97,Usvyaty,area,,,,,,E2
98,Unnamed E2,area,,,,,,E2
99,Poreczie,area,,,,1,,E2
100,Vitebsk,key_city,1,,,1,1,E2
101,Smolensk,key_city,1,,,1,2,E2
102,Babinovichi,area,,,,,,E3
103,Orsha,area,,,,1,,E3
104,Mstislavl,area,,,,,,E3
105,Unnamed E4,area,,,,,,E4
106,Klimovich,area,,,,,,E4
107,Novozybkov,area,,,,,,E4
108,Novo Belitza,area,,,,,,E5
109,Unnamed E5 West,area,,,,,,E5
110,Unnamed E5 East,area,,,,,,E5
111,Gorodnya,area,,,,1,,E5
112,Kozelets,area,,,,,,E6
113,Ukraine,off_map,,russia,1,,,E6
114,Belyy,area,,,,,,F2
115,Dukhovshchina,area,,,,,,F2
116,Sychevka,area,,,,,,F2
117,Unnamed F2,area,,,,,,F2
118,Vyazma,area,,,,1,,F2
119,Dorogobuzh,area,,,,1,,F3
120,Sverskovo,area,,,,,,F3
121,Unnamed F3,area,,,,,,F3
122,Roslavl,area,,,,1,,F3
123,Bryansk,area,,,,1,,F4
124,Surazh,area,,,,,,F4
125,Trubshevsk,area,,,,1,,F4
126,Starodub,area,,,,1,,F4
127,Novgorod Severskiy,area,,,,1,,F5
128,Sosnitsa,area,,,,1,,F5
129,Chernigov,area,,,,1,,F6
130,Nezhin,area,,,,,,F6
131,Torzhok,area,,,1,,,G1
132,Tver,key_city,,,,1,1,G1
133,Staritsa,area,,,,,,G1
134,Voskresentsk,area,,,,,,G1
135,Klin,area,,,,,,G1
136,Gzhatsk,area,,,,1,,G2
137,Mozhaysk,area,,,,1,,G2
138,Silenki,area,,,,,,G2
139,Maloyaroslavet,area,,,,,,G2
140,Tarutino,area,,,,,,G2
141,Yukhnov,area,,,,,,G3
142,Kaluga,key_city,,,,1,1,G3
143,Koselysk,area,,,,,,G3
144,Belev,area,,,,,,G4
145,Orel,area,,,,1,,G4
146,Karachev,area,,,,,,G4
147,Voronezh,off_map,,russia,1,,,H4
148,Kortseva,area,,,,,,H1
149,Vladimir (Russia),off_map,,russia,1,,,H1
150,Moscow,moscow,,,,1,5,H2
151,Unnamed H2,area,,,1,,,H2
152,Serpukhov,area,,,,,,H2
153,Ryazan,off_map,,,1,,,H3
154,Tula,area,,,,,,H3
155,Unnamed H3,area,,,,,,H3
156,Unnamed H4,area,,,,,,H4
